company,domain,category,founded_year,employee_count,hq,notes
AkitaBox,akitabox.com,facility management software,,,,"Facility data, asset management, maintenance workflows."
Planon,planonsoftware.com,facility management software,,,,"Real estate and facilities management, maintenance workflows."
MRI Software,mrisoftware.com,property management software,,,,"Property management, leasing, accounting, resident workflows."
Yardi,yardi.com,property management software,,,,"Property management, leasing, accounting, resident data."
AppFolio,appfolio.com,property management software,,,,"Property management, leasing, maintenance, resident portals."
Buildium,buildium.com,property management software,,,,"Property management, leasing, accounting, maintenance."
Rent Manager,rentmanager.com,property management software,,,,"Property management, accounting, maintenance, integrations."
Entrata,entrata.com,property management software,,,,"Property operations, leasing, resident experience, payments."
ResMan,myresman.com,property management software,,,,"Property management, affordable housing, workflows, reporting."
Procore,procore.com,construction management software,,,,"Construction projects, documents, RFIs, workflows, financials."
Buildertrend,buildertrend.com,construction management software,,,,"Construction project management, scheduling, estimates, documents."
CoConstruct,coconstruct.com,construction management software,,,,"Residential construction project management, estimates, selections."
Raken,rakenapp.com,construction field management software,,,,"Daily reports, field workflows, safety, production tracking."
Fieldwire,fieldwire.com,construction field management software,,,,"Field management, plans, tasks, inspections."
Autodesk Construction Cloud,construction.autodesk.com,construction management software,,,,"Construction documents, workflows, RFIs, project data."
Briq,briq.com,construction finance software,,,,"Construction financial workflows, forecasting, billing data."
STACK,stackct.com,construction takeoff estimating software,,,,"Construction estimating, takeoff, bid workflows."
Bluebeam,bluebeam.com,construction document software,,,,"Construction document markup, collaboration, workflows."
OpenGov,opengov.com,govtech permitting software,,,,"Government permitting, licensing, budgeting, citizen workflows."
Accela,accela.com,govtech permitting software,,,,"Permitting, licensing, inspections, compliance workflows."
Granicus,granicus.com,govtech citizen engagement software,,,,"Citizen communications, digital services, records, workflows."
Tyler Technologies,tylertech.com,public sector software,,,,"Public sector ERP, courts, permitting, records workflows."
CivicPlus,civicplus.com,govtech software,,,,"Municipal websites, communications, records, citizen workflows."
OpenGov Cartegraph,cartegraph.com,asset management govtech software,,,,"Public works asset management, work orders, inspections."
Clio,clio.com,legal practice management software,,,,"Legal practice management, matters, documents, billing."
MyCase,mycase.com,legal practice management software,,,,"Legal case management, documents, billing, client portal."
PracticePanther,practicepanther.com,legal practice management software,,,,"Legal practice workflows, matters, billing, client portal."
Smokeball,smokeball.com,legal practice management software,,,,"Legal documents, matters, time tracking, workflows."
Filevine,filevine.com,legal case management software,,,,"Legal case management, documents, workflows, reporting."
Litify,litify.com,legal operations software,,,,"Legal operations, case management, intake, workflows."
Karbon,karbonhq.com,accounting practice management software,,,,"Accounting practice workflows, client tasks, email, work management."
Canopy,canopytax.com,accounting practice management software,,,,"Tax practice management, client records, documents, workflow."
TaxDome,taxdome.com,accounting practice management software,,,,"Tax and accounting workflow, documents, client portal."
Jetpack Workflow,jetpackworkflow.com,accounting workflow software,,,,"Accounting workflow, recurring tasks, client work."
Mango Practice Management,mangopractice.com,accounting practice management software,,,,"Accounting practice management, time, billing, documents."
DrChrono,drchrono.com,healthcare practice management software,,,,"EHR, practice management, scheduling, billing workflows."
Kareo,kareo.com,healthcare practice management software,,,,"Practice management, billing, patient workflows."
AdvancedMD,advancedmd.com,medical practice management software,,,,"Practice management, EHR, RCM, patient workflows."
Athenahealth,athenahealth.com,healthcare practice management software,,,,"EHR, revenue cycle, patient engagement workflows."
Tebra,tebra.com,healthcare practice management software,,,,"Practice growth, billing, patient records, workflows."
Nextech,nextech.com,specialty healthcare software,,,,"Specialty practice management, EHR, patient workflows."
Waystar,waystar.com,revenue cycle management software,,,,"Healthcare RCM, claims, payments, denial workflows."
Availity,availity.com,healthcare claims software,,,,"Claims, eligibility, payer-provider workflows, transactions."
Guidewire,guidewire.com,insurance claims software,,,,"Insurance core systems, claims, policy, billing workflows."
Duck Creek,duckcreek.com,insurance core software,,,,"Insurance policy, claims, billing, data workflows."
Snapsheet,snapsheetclaims.com,insurance claims software,,,,"Claims management, appraisal, payments, insurance workflows."
Origami Risk,origamirisk.com,risk and insurance software,,,,"Risk management, claims, policy, compliance workflows."
